category_code,event_name,elimination_name,discipline_id,ladder_id,sex,discipline,total_rounds,to_advance,last_update,round_name,heat_id,heat_name,sailor_name,sail_nr,place,note
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_33a,33,Neubauer,GRE-734,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_33a,33,Flechet,F-47,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_34a,34,Ishii,J-20,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_34a,34,Bjørnaa,D-36,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_34a,34,Bruch,G-1181,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_34a,34,Merlak,POL-64,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_35a,35,Chapuis,E-99,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_35a,35,Thule,DEN-134,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_35a,35,Mauch,G-103,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,1,1657_35a,35,De Cruz,F-3003,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_36a,36,Browne,BRA-105,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_36a,36,Friedl Morales,E-255,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_36a,36,Shamgar,ISR-13,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_36a,36,Warchol,Pol-111,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_37a,37,Albert,NC-21,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_37a,37,Stathapoulos,GRE-73,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_37a,37,Morisio,I-676,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_37a,37,Kiefer Quintana,E-242,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_38a,38,Noireaux,HI-101,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_38a,38,Ishii,J-20,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_38a,38,Mauch,G-103,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_38a,38,Flechet,F-47,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_39a,39,Bruch,G-1181,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_39a,39,Pons,E-203,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_39a,39,Neubauer,GRE-734,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,2,1657_39a,39,Chapuis,E-99,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_40a,40,Arutkin,F-7,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_40a,40,Browne,BRA-105,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_40a,40,Fernandez,E-42,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_40a,40,Warchol,Pol-111,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_41a,41,Sugi,J-7,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_41a,41,Albert,NC-21,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_41a,41,Traversa,F-3,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_41a,41,Kiefer Quintana,E-242,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_42a,42,Martin,F-193,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_42a,42,Mauch,G-103,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,3,1657_42a,42,Ruenes,F-85,4,
